budget,original_language,popularity,runtime,status,vote_average,vote_count,release_year,profit_level,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,total_directed
165000000.0,en,44.041186,93.0,Released,6.0,1959,2010,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4.0
190000000.0,en,130.311355,130.0,Released,6.2,2846,2015,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,5.0
165000000.0,en,203.73459,102.0,Released,7.8,6135,2014,3,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
165000000.0,en,62.341073,108.0,Released,7.1,4570,2012,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
165000000.0,en,47.323228,100.0,Released,6.4,1474,2004,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13.0
165000000.0,en,48.775723,120.0,Released,4.9,2491,2016,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0
165000000.0,en,67.263269,98.0,Released,7.5,4227,2010,3,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0
200000000.0,en,69.405188,109.0,Released,5.9,2143,2003,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0
170000000.0,en,481.098624,121.0,Released,7.9,9742,2014,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
165000000.0,en,724.247784,169.0,Released,8.1,10867,2014,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0
160000000.0,en,167.58371,148.0,Released,8.1,13752,2010,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,8.0
15000000.0,ja,9.476999,120.0,Released,6.5,143,2016,3,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0
250000000.0,en,108.849621,169.0,Released,7.0,8297,2012,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
38000000.0,en,6.909942,106.0,Released,6.6,3428,2001,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.0
150000000.0,en,60.269279,166.0,Released,7.3,3292,2008,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,10.0
160000000.0,en,3.195174,132.0,Released,7.1,5181,2011,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
160000000.0,en,127.284427,137.0,Released,6.6,3984,2015,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
150000000.0,en,35.580815,109.0,Released,5.8,1470,2010,2,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
160000000.0,en,21.133748,99.0,Released,5.5,583,2006,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0
170000000.0,en,56.268916,113.0,Released,6.5,1725,2016,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
160000000.0,en,42.986467,93.0,Released,6.0,2278,2007,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.5
160000000.0,en,63.148529,123.0,Released,6.3,2268,2016,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
155000000.0,en,202.042635,126.0,Released,5.8,3631,2015,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2.0
155000000.0,en,49.661984,113.0,Released,6.2,1514,2010,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.0
140000000.0,en,34.20669,183.0,Released,6.6,1791,2001,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,12.0
150000000.0,en,25.468493,144.0,Released,6.6,4040,2007,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.0
155000000.0,en,39.019229,175.0,Released,5.6,927,2004,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,14.0
150000000.0,en,78.144395,138.0,Released,7.4,5494,2007,3,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3.0
150000000.0,en,101.250416,157.0,Released,7.5,5608,2005,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0
150000000.0,en,56.758411,92.0,Released,6.2,2961,2008,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.0
150000000.0,en,70.867401,101.0,Released,6.9,4853,2007,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,5.0
150000000.0,en,53.905592,115.0,Released,6.7,3624,2005,3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14.0
150000000.0,en,65.677399,111.0,Released,7.5,4369,2007,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0
150000000.0,en,115.040024,140.0,Released,7.5,7359,2005,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0
150000000.0,en,44.141021,89.0,Released,6.2,1810,2008,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5
150000000.0,en,81.781591,105.0,Released,5.9,1971,2009,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11.0
150000000.0,en,5.954334,107.0,Released,6.2,4021,2009,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0
150000000.0,en,73.313918,129.0,Released,6.4,3096,2003,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.0
150000000.0,en,165.125366,102.0,Released,7.3,5295,2013,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5
150000000.0,en,70.78591,138.0,Released,6.7,3443,2003,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.0
170000000.0,en,99.499595,112.0,Released,6.8,4755,2013,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
150000000.0,en,434.278564,120.0,Released,7.2,9427,2015,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.0
150000000.0,en,67.447636,138.0,Released,6.5,2129,2009,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,13.0
150000000.0,en,86.493424,115.0,Released,6.6,6525,2011,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
150000000.0,en,41.845878,98.0,Released,6.3,1750,2008,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
150000000.0,en,26.710398,88.0,Released,5.1,510,2009,3,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.0
150000000.0,en,44.927635,99.0,Released,5.5,1431,2012,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
150000000.0,en,50.306728,113.0,Released,5.7,2320,2012,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.0
